# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응.
# 말투: 내레이션은 문어체(~다), 에밀리 창(진행자)·리 박사는 해요체.
116|영화에서는 배우를 어떤 환경에서든 촬영할 수 있어서 Marble 을 써요. 게임 개발자들도요.|shoot actors = 배우를 촬영하다
117|Marble 은 필요한 자원과 시간을 완전히 낮췄어요. 로보틱스 사례도 있어요.|lower the amount of = ~의 양을 낮추다
118|이건 NVIDIA 와의 협업인데, 로봇 훈련을 보강하려고 Marble 환경을 쓰고 있어요.|augment the training = 훈련을 보강하다
119|다른 곳에는 없는 무엇으로 이 모델들을 훈련하시나요?|train ~ on = ~으로 훈련시키다
120|두 가지로 훈련해요. 하나는 특별히 준비한 데이터예요.|specially prepared = 특별히 준비된
121|픽셀 데이터는 언어 데이터보다 미묘해요, 그림 한 장에 더 많은 정보가 있다는 점에서요.|nuanced = 미묘한 / in the sense that = ~라는 점에서
122|카메라 정보도 있고요.|
123|또 하나는 알고리즘·아키텍처 혁신이에요. 3D 그리고 결국 4D 세계를 만드는 생성형 월드 모델은 우리처럼 만든 곳이 없거든요.|architectural innovation = 아키텍처 혁신 / in terms of = ~라는 면에서
124|그게 비결이라고 하시겠어요?|the secret = 비결
125|네, 그런 것 같아요. 뭐, 늘 말하듯 진짜 비결은 사람이죠.|as I always say = 늘 말하듯
126|하지만 네, 데이터와 알고리즘, 그리고 우리가 만든 시스템이요.|
127|10억 달러를 조달하셨죠. 사업은 어떤가요?|raise (money) = 자금을 조달하다
128|사업은 아직 초기예요. World Labs 의 이 단계에서는 기술을 만드는 데 집중하고 있어요.|still early = 아직 초기
129|기술을 만드는 것만이 일의 전부는 아니다.|
130|리는 World Labs 에서 몰두하고 있지 않을 때면 밖에서 AI 의 다음 개척지를 역설한다.|heads down = 몰두한 / make the case for = ~을 옹호·역설하다
131|네. 무대로 모시겠습니다.|Please welcome to the stage = 무대로 모십니다
132|World Labs 공동창업자 겸 CEO 페이페이 리, Bloomberg 의 에밀리 창과 대담을 나누겠습니다.|
133|이 모든 게 로보틱스로 이어지니, 이 분야에 대한 견해를 듣고 싶어요. 특히 휴머노이드요.|roll up into = ~로 모이다·귀결되다 / get your take on = ~에 대한 견해를 듣다
134|휴머노이드 투자가 60억 달러에 이르렀지만, 아직 제가 하는 것만큼 빨리 식기세척기를 채우지 못하잖아요.|hit $6 billion = 60억 달러에 이르다
135|아마존 택배도 못 가져오고요.|
136|월드 모델이, World Labs 가 과장과 현실의 간극을 메울까요?|close the gap between hype and reality = 과장과 현실의 간극을 메우다
137|의도가 실린 질문이네요, 에밀리.|a loaded question = 특정 답을 유도하는·함정이 있는 질문
138|우선, 우선 로보틱스는 인류 산업화에서 가장 중요한 혁명 중 하나가 될 거예요. 60억 달러는 너무 적어요, 그렇죠?|first of all = 우선
139|자율주행차 투자를 보세요, 언어 모델 투자를 보세요, 60억 달러보다 훨씬 많이 들었어요.|way more than = ~보다 훨씬 많이
140|간극을 메울 거냐고요?|
141|World Labs 가 공간·물리 지능에서 가장 중요한 기술 중 하나에 매달리고 있다고 정말 믿어요.|critical technology = 핵심 기술
142|그리고 물론, 그게 바라는 바예요.|that's the hope = 그게 희망이다
143|하지만 리만 그런 건 아니다.|
144|월드 모델은 스타트업과 거대 기술기업이 너도나도 만들려고 전력 질주하는, 기술 업계의 최신 집착 대상이다.|latest obsession = 최신 집착 대상 / sprint to = ~하려고 전력 질주하다
145|디자인부터 자율주행차·로봇·공장, 그리고 결국 인간의 집이라는 예측 불가한 현실을 헤쳐 갈 기계까지, 무엇에든 쓰기 위해서다.|navigate the unpredictable reality = 예측 불가한 현실을 헤쳐 가다
146|자금이 두둑한 큰 회사들과 경쟁하고 계시죠. 얼마나 걱정되세요?|deep pockets = 두둑한 자금
147|기업가이자 공동창업자·CEO 로서 저는 매일 편집증적으로 걱정해요.|paranoid = 편집증적인·늘 경계하는
148|"아, 정말 편하다" 하고 말할 순간이 있을 것 같지 않아요.|
149|그러니 네, 걱정돼요. 하지만 마비됐느냐? 전혀요. 우리는 훌륭한 팀이 있고 집중력도 있어요.|paralyzed = 마비된 / Absolutely not = 전혀 아니다
150|큰 회사들은 식탁 위에 놓인 게 많아요.|a lot on the table = 벌여 놓은 일이 많은
151|우리는 한 가지만 올려놓고 그것에 집중해요.|
152|에밀리, 만나서 반가워요.|
153|인재 전쟁이 정말 치열하죠. 강력한 AI 회사가 이렇게 많은데 왜 페이페이와 일하시나요?|the war for talent = 인재 전쟁 / fierce = 치열한
154|저는 2012년, 그게 유행이 되기 훨씬 전부터 페이페이와 일하기 시작했어요.|way before it was cool = 유행하기 훨씬 전부터
155|네, 옛날에 스탠퍼드에서 페이페이 밑에서 박사를 했어요.|way back in the day = 아주 옛날에
156|큰 기술기업에 갈 수도 있지만, 거기서는 많은 경우 내 손으로 그 궤적을 바꿀 수 없어요.|change that trajectory = 그 궤적을 바꾸다 / in many instances = 많은 경우
157|여기는 50명이에요. 내 손으로 이 회사의 궤적을 바꿀 수 있죠.|
158|인생에서 그런 걸 갖는 건 아름다운 일이에요.|
159|World Labs 는 작은 팀일지 몰라도 월드 모델에 대한 투자는 거대하다. 30억 달러, 그리고 늘고 있다.|gigantic = 거대한 / and growing = 그리고 늘고 있는
160|그래도 아직 초기다. 이 분야는 어떻게 만들지조차 아직 합의하지 못했다.|early days = 초기 / crack = (문제를) 풀다
161|모두가 LLM 을 쫓으며 되게 하려 했지만 아직 해법을 찾지 못했던 2019년의 챗봇 같다고 하시겠어요?|crack the code = 해법을 찾다 / make it happen = 실현시키다
162|월드 모델은 지금 그 지점인가요?|
163|네, 아마 적절한 묘사예요. 우리는 초기예요. LLM 에 비하면 훨씬 더 초기죠. 하지만|a fair description = 적절한 묘사
164|"아, 이제 알겠다" 하는 폭발적인 순간, 유레카의 순간이 올까요?|aha moment = 깨달음의 순간
165|제대로 하면, 네. 그게 기술과 과학의 마법이죠.|if we do it right = 제대로 하면
166|그 이정표에 닿는 순간 마법이 돼요.|hit a milestone = 이정표에 도달하다
167|AI·로보틱스 업계의 회의론자들은 "이건 다음 돌파구가 아니라|skeptics = 회의론자
168|그저 다음 과열 주기일 뿐"이라고 해요. 뭐라고 답하시겠어요?|hype cycle = 과열 주기 / What do you say to that? = 그에 뭐라고 답하시겠어요
169|좋은 과학도 과대광고될 수 있다고 생각해요.|be hyped = 과대광고되다
170|저는 공간 지능과 물리 지능이 기계 지능의 근본이라고 믿어요.|fundamental to = ~의 근본인
171|그리고 이것들은 제가 과학자로서, 기술자로서, 또 기업가로서 굳게 믿는 개척지의 질문들이에요.|believe firmly in = ~을 굳게 믿다
172|엄청난 시장 가치를 제공할 거라고 믿어요.|market value = 시장 가치
173|월드 모델을 만드는 건 자원이 엄청나게 들어요. 컴퓨팅 파워가 더 필요한가요?|resource intensive = 자원 집약적인
174|원하는 곳까지 가려면 자본이 더 필요한가요?|capital = 자본
175|그건 아직 몰라요. 너무 초기예요. 더 많은 파워와 자원이 필요할 가능성이 높아요.|be likely to = ~할 가능성이 높다
176|그리고 구할 수 있나요?|
177|모르겠어요. 잘해서 그걸 얻어 내야죠.|earn it = 노력으로 얻다
178|월드 모델을 데모 단계에서 꺼내려면 더 많은 시간과 돈이 들 것이다.|get ~ out of the demo phase = ~을 데모 단계에서 벗어나게 하다
179|한편 생성형 AI 투자는 치솟았고, 미국인들은 그것에 강한 감정을 갖고 있다.|soar = 치솟다 / have strong feelings about = ~에 강한 감정을 갖다
180|전 구글 CEO 에릭 슈밋이 대학 졸업식에서 야유받는 영상을 보셨을 것이다.|get booed = 야유를 받다
181|그래서 오늘 우리는 또 하나의 기술적 변혁의 문턱에 서 있습니다.|stand on the edge of = ~의 문턱에 서다
182|학생들과 시간을 많이 보내시죠. 뭐라고들 하나요? 두려워한다면, 그 두려움은 정당한가요?|are the fears justified = 그 두려움은 정당한가
183|네, 학생들과 시간을 많이 보내요. 스탠퍼드 학생들조차 이 엇갈린 정서를 어느 정도 보여요.|mixed sentiment = 엇갈린 정서
184|불안이 있어요. 희망도 있어요. 흥분도 있고 혼란도 있죠.|anxiety = 불안
185|또 동시에 AI 가 전에 못 하던 일을 하게 도와줄 때의 존엄과 주체성의 감각도 있고,|dignity and agency = 존엄과 주체성
186|AI 가 내 일자리를 가져간다면 존엄과 주체성을 잃는 감각도 있어요.|a sense of loss = 상실감
187|AI 는 물러가라.|has got to go = 없어져야 한다 (시위 구호)
188|그럼 나머지 세계가 앞서 달리는 동안 미국이 이 기술에 대한 믿음을 잃으면 어떻게 되나요?|lose faith in = ~에 대한 믿음을 잃다 / race ahead = 앞서 달리다
189|미국은 세계에 미치는 영향에서 너무 중요한 나라라, 우리가 AI 에 긍정적 태도와 긍정적 길을 보여 주지 못하면 모두가 지는 거예요.|in terms of = ~의 측면에서 / everybody loses = 모두가 진다
190|그리고 저는 그걸 바라지 않아요. 미국은 기술·과학·경제에서 세계의 사상적 리더였으니까요.|thought leader = 사상적 선도자 / when it comes to = ~에 관한 한
191|우리가 AI 로 놀라운 기술과 경제적 가치를 만들고 긍정적인 문화적 영향을 줄 수 있음을 보여 주면, 세계는 그걸 롤모델로 볼 거예요.|role model = 본보기
192|리는 AI 와 그 영향에 대해 잘 안다.|know a thing or two about = ~에 대해 좀 안다 (겸양의 반어)
193|경력 동안 그는 거대 기술기업과 벤처캐피털에서 일했고, 스탠퍼드에 AI 연구소를 공동 설립했으며, 미국 대통령들과 유엔에 AI 정책을 자문했다.|take roles at = ~에서 직책을 맡다
194|인공지능에 인공적인 건 없어요. 사람에게서 영감을 받고, 사람이 만들어요.|nothing artificial about ~ = ~에 인공적인 것은 없다 (말장난)
195|그리고 가장 중요하게는, 사람에게 영향을 미치죠.|have an impact on = ~에 영향을 미치다
196|바이든 대통령, 트럼프 대통령, 유엔에 기술·AI 정책을 자문하셨죠.|advise ~ on = ~에게 …을 자문하다
197|세계 지도자들과의 대화에는 어떻게 접근하세요?|approach = 접근하다
198|과장하며 들어가지 않아요. 극단적 수사를 들고 가지도 않고요. 완전한 유토피아냐 완전한 종말이냐 같은 거요.|extreme rhetoric = 극단적 수사 / doomsday = 종말의 날
199|누구와 얘기하든 제가 과학자라는 걸 아는 게 아주 중요해요. 그들에게 필요한 게 뭘까요?|
200|과학적 사실이 필요하죠. 하지만 그들을 위해 봉사하면서도 제 생각을 말하고, 틀렸으면 반박하는 게 중요하다고 봐요. 그게 제 책임이니까요.|be at their service = 그들을 위해 봉사하다 / speak my mind = 소신을 말하다 / push back = 반박하다
201|그리고 그들이 틀린 적이 있나요?|
202|아, 네, 물론이죠. 우리 모두 틀린 적이 있어요. 이 기술은 너무 빨리 움직여요. 그들을 탓하지 않아요.|I don't blame them = 그들을 탓하지 않는다
203|정책 입안자 대부분은 컴퓨터과학 배경이 아니에요.|policymakers = 정책 입안자
204|규제의 역할은 뭔가요? 어떤 모습이어야 하나요?|regulation = 규제
205|무엇보다 먼저, 공상과학이 아니라 과학에 뿌리를 두는 거예요.|first and foremost = 무엇보다 먼저 / root ~ in = ~에 뿌리를 두다
206|실리콘밸리 사람들과의 AI 정책 대화 상당수가 인류 멸종이니 AGI 기계 지배자니 하는데, 그게 진짜 정책 작업을 흐트러뜨려요.|machine overlord = 기계 지배자 / distract = 주의를 흐트러뜨리다
207|두 번째 권고는 건강한 생태계를 확보하고, 공공 부문에 자원을 대고, K-12 나 K-16 의 STEM 교육에 자원을 대는 거예요.|resource (동사) = 자원을 공급하다 / K-12 = 유치원~12학년
208|결국 인적 자본이 우리 세계의 가장 중요한 자원이에요.|at the end of the day = 결국 / human capital = 인적 자본
209|우리는 기계만 번성하는 사회가 아니라 사람이 번성하는 사회를 원하니까요.|thriving = 번성하는
210|월드 모델에서 무엇이 잘못될까 걱정되세요?|
211|사람들에게 더 사실적이고 더 강력한 AI 를 주면, 정말 나쁜 일이 일어날 기회도 더 많아지지 않나요?|create opportunities for = ~의 기회를 만들다
212|월드 모델, 언어 모델은 허위·역정보를 만들 수 있는 강력한 모델이에요.|mis and disinformation = 오정보와 역정보
213|힘을 얻은 로봇은 악의적 행위자에게 무기화될 수 있고, 동기가 부족한 학생은 기술을 힘을 주는 학습 도구가 아니라 게으른 목발로 쓸 수 있죠.|be weaponized by bad actors = 악의적 행위자에게 무기화되다 / a lazy crutch = 게으른 목발(의존 수단)
214|그게 정말 걱정돼요. 그러니 기술에서는 많은 게 잘못될 수 있어요, AI 만이 아니라요.|
215|전기, 자동차, PC, 인터넷에서도 잘못될 수 있었죠.|could have gone wrong = 잘못될 수도 있었다
216|지금 AI 의 가장 힘 있는 CEO 몇몇은 인류에게 무엇이 최선인지 자기들이 안다고 여기는 듯해서 신 콤플렉스가 있다는 비난을 받아요.|be accused of = ~라는 비난을 받다 / God complex = 신 콤플렉스(자기 전능감)
217|그 말을 어떻게 생각하세요?|
218|어떤 개인이든 자기가 다른 모두보다 잘 안다고 생각하는 건 위험하다고 봐요.|know better than = ~보다 더 잘 알다
219|CEO 로서, 기업가로서 우리의 창업 전제는 사회에 기여하고 사람들에게 힘을 주려고 여기 있다는 거예요.|founding premise = 창업 전제
220|사람들을 대신해 모든 결정을 내리는 건 우리 자리가 아니에요.|it's not our position to = ~하는 것은 우리 자리가 아니다
221|하지만 지금 그 길로 가고 있지 않나요? 정말 힘 있는 사람들이잖아요.|the path we're on = 우리가 가고 있는 길
222|아직 말하기 이르다고 봐요, 에밀리. 순진한 게 아니에요. 무슨 말씀인지 알아요.|too early to tell = 말하기 이르다 / naive = 순진한
223|저도 우려가 있어요.|
224|신 콤플렉스는 건설적이지 않고 저도 그러고 싶지 않지만, 우리에겐 민주 사회가 있어요.|constructive = 건설적인
