# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
言っ,言わ|言う|ゆう|말하다|언
春|春|はる|봄|춘
道|道|みち|길|도
一番|一番|いちばん|가장·제일|일번
大きな|大きな|おおきな|큰|대
好き|好き|すき|좋아함|호
持っ,持た,持てる|持つ|もつ|들다·가지다|지
行動|行動|こうどう|행동|행동
大丈夫|大丈夫|だいじょうぶ|괜찮음|대장부
原理|原理|げんり|원리|원리
笑っ,笑う|笑う|わらう|웃다|소
苦しん|苦しむ|くるしむ|괴로워하다|고
前|前|まえ|앞|전
引きずっ|引き摺る|ひきずる|(감정·역을) 끌고 가다|인인
全然|全然|ぜんぜん|전혀|전연
彼|彼|かれ|그(사람)|피
考え|考える|かんがえる|생각하다|고
作っ,作り|作る|つくる|만들다|작
現場|現場|げんば|현장|현장
来,来る|来る|くる|오다|래
完全|完全|かんぜん|완전|완전
説明|説明|せつめい|설명|설명
手伝う|手伝う|てつだう|돕다|수전
聞き,聞か|聞く|きく|묻다·듣다|문
表現|表現|ひょうげん|표현|표현
仕方|仕方|しかた|방식|사방
互い|互い|たがい|서로|호
違う|違う|ちがう|다르다·틀리다|위
志|志|こころざし|뜻·포부|지
高|高い|たかい|높다·크다|고
共通|共通|きょうつう|공통|공통
共演|共演|きょうえん|공연(함께 연기)|공연
何|何|なん|무엇|하
起こる|起こる|おこる|일어나다|기
本番|本番|ほんばん|본방·실전|본번
楽しむ|楽しむ|たのしむ|즐기다|락
構築|構築|こうちく|구축|구축
俳優|俳優|はいゆう|배우|배우
変わる,変わっ|変わる|かわる|변하다·바뀌다|변
楽しみ|楽しみ|たのしみ|기대·즐거움|락
終わり|終わる|おわる|끝나다|종
太陽|太陽|たいよう|태양|태양
自然|自然|しぜん|자연스레|자연
元気|元気|げんき|기운·건강함|원기
明るい|明るい|あかるい|밝다|명
空気|空気|くうき|공기·분위기|공기
伝染|伝染|でんせん|전염|전염
彼女|彼女|かのじょ|그녀|피녀
学生|学生|がくせい|학생|학생
結婚|結婚|けっこん|결혼|결혼
出産|出産|しゅっさん|출산|출산
八木|ヤギ|やぎ|야기(성)|
莉|リー|りー|리(이름 글자)|
可|可|か|가(이름 글자)|가
子|子|こ|코(이름 글자)·아이|자
同じ|同じ|おなじ|같음|동
見え|見える|みえる|보이다|견
意識|意識|いしき|의식|의식
映像|映像|えいぞう|영상|영상
写れ|写る|うつる|(영상에) 담기다|사
出来上がっ|出来上がる|できあがる|완성되다|출래상
監督|監督|かんとく|감독|감독
一|一|いち|하나·1|일
使い,使う|使う|つかう|쓰다·사용하다|사
細部|細部|さいぶ|세부|세부
出る,出|出る|でる|나오다·나가다|출
確か|確か|たしか|아마·분명|확
丁寧|丁寧|ていねい|정성스러움|정녕
物|物|もの|물건|물
小指|小指|こゆび|새끼손가락|소지
浮い|浮く|うく|뜨다|부
新聞|新聞|しんぶん|신문|신문
感情|感情|かんじょう|감정|감정
動く|動く|うごく|움직이다|동
少年|少年|しょうねん|소년|소년
頭|頭|あたま|머리|두
広がっ|広がる|ひろがる|펼쳐지다|광
表情|表情|ひょうじょう|표정|표정
簡単|簡単|かんたん|간단함|간단
難しい,難しかっ|難しい|むずかしい|어렵다|난
大成|タイセイ|たいせい|타이세이(이름)|
力|力|ちから|힘|력
抜い|抜く|ぬく|(힘을) 빼다|발
大事|大事|だいじ|중요함|대사
話|話|はなし|이야기|화
吸う|吸う|すう|(담배를) 피우다|흡
竹内|タケウチ|たけうち|타케우치(성·인식 불명확)|
僕|僕|ぼく|나(남자의 1인칭)|복
位置|位置|いち|위치|위치
挟ん|挟む|はさむ|끼우다|협
角度|角度|かくど|각도|각도
回|回|かい|회·번|회
教える|教える|おしえる|가르쳐 주다·알려주다|교
吸収|吸収|きゅうしゅう|흡수|흡수
素敵|素敵|すてき|멋짐|소적
二人|二人|ふたり|두 사람|이인
職人|職人|しょくにん|장인|직인
視野|視野|しや|시야|시야
思い|思い|おもい|마음·생각|사
全体|全体|ぜんたい|전체|전체
通し|通す|とおす|통과시키다·훑어보다|통
食事|食事|しょくじ|식사|식사
ご飯|御飯|ごはん|밥|어반
見どころ|見所|みどころ|볼거리|견소
匂い|匂い|におい|냄새|내
味|味|あじ|맛|미
生まれる|生まれる|うまれる|태어나다|생
画面|画面|がめん|화면|화면
匂わ|匂う|におう|냄새가 나다·풍기다|내
伝え|伝える|つたえる|전하다|전
必要|必要|ひつよう|필요|필요
直接|直接|ちょくせつ|직접|직접
客|客|きゃく|손님|객
我々|我々|われわれ|우리|아반복
役目|役目|やくめ|역할|역목
地|地|ち|땅·곳|지
作品|作品|さくひん|작품|작품
君|君|きみ|~군|군
大成|大成|たいせい|타이세이(이름 표기)|대성
行っ|行く|いく|가다|행
景色|景色|けしき|경치|경색
顔|顔|かお|얼굴|안
落ち|落ちる|おちる|(때가) 지워지다·떨어지다|락
寒い|寒い|さむい|춥다|한
流氷|流氷|りゅうひょう|유빙|류빙
流れ|流れる|ながれる|흐르다|류
美しく,美しい|美しい|うつくしい|아름답다|미
北海道|ホッカイドウ|ほっかいどう|홋카이도(지명)|
最高|最高|さいこう|최고|최고
神秘|神秘|しんぴ|신비|신비
的|的|まと|~적|적
雲海|雲海|うんかい|운해|운해
日|日|ひ|날·해|일
雪|雪|ゆき|눈|설
素晴らしい|素晴らしい|すばらしい|훌륭하다|소청
実際|実際|じっさい|실제|실제
基地|基地|きち|기지|기지
協力|協力|きょうりょく|협력|협력
座れ|座る|すわる|앉다|좌
非常|非常|ひじょう|대단히·비상|비상
上がり|上がる|あがる|오르다|상
所作|所作|しょさ|동작·몸짓|소작
経験|経験|けいけん|경험|경험
羽田|ハタ|はた|하네다(공항 이름)|
空港|空港|くうこう|공항|공항
一部|一部|いちぶ|일부|일부
入れ|入れる|いれる|넣다|입
光景|光景|こうけい|광경|광경
全部|全部|ぜんぶ|전부|전부
初恋|初恋|はつこい|첫사랑|초련
曲|曲|きょく|곡(노래)|곡
間|間|ま|사이·틈|간
興味|興味|きょうみ|흥미|흥미
惹か|引く|ひく|끌다|인
一人|一人|ひとり|한 사람|일인
全話|全話|ぜんわ|전편(모든 화)|전화
脚本|脚本|きゃくほん|각본|각본
書い|書く|かく|쓰다|서
歌詞|歌詞|かし|가사|가사
数|数|すう|수(數)|수
週間|週間|しゅうかん|주간|주간
一貫|一貫|いっかん|일관|일관
歌|歌|うた|노래|가
理性|理性|りせい|이성|리성
気持ち|気持ち|きもち|기분·마음|기지
体|体|からだ|몸|체
現れる|現われる|あらわれる|나타나다|현
物語|物語|ものがたり|이야기|물어
本当|本当|ほんとう|정말·진짜|본당
音楽|音楽|おんがく|음악|음락
化学|化学|かがく|화학|화학
魅力|魅力|みりょく|매력|정력
爆発|爆発|ばくはつ|폭발|폭발
今日|今日|きょう|오늘|금일
台本|台本|だいほん|대본|대본
活版|活版|かっぱん|활판|활판
印刷|印刷|いんさつ|인쇄|인쇄
紙|紙|かみ|종이|지
質感|質感|しつかん|질감|질감
色味|色味|いろみ|색감|색미
天気|天気|てんき|날씨|천기
絵|絵|え|그림·화면|회
三|三|さん|셋·3|삼
色|色|いろ|색|색
以内|以内|いない|이내|이내
補色|補色|ほしょく|보색|보색
意味|意味|いみ|의미|의미
動画|動画|どうが|동영상|동화
本人|本人|ほんにん|본인|본인
背景|背景|はいけい|배경|배경
看板|看板|かんばん|간판|간판
向こう|向こう|むこう|저쪽|향
衝撃|衝撃|しょうげき|충격|충격
撮り|取る|とる|없애다·제거하다·가지다|취
衣装|衣装|いしょう|의상|의장
本物|本物|ほんもの|진짜·실물|본물
徹底|徹底|てってい|철저|철저
関し|関する|かんする|관하다|관
抑え|押さえる|おさえる|억누르다·참다|압
寒竹|寒竹|かんちく|칸치쿠(성)|한죽
今|今|いま|지금|금
生き|生きる|いきる|살다|생
人生|人生|じんせい|인생|인생
限り|限り|かぎり|한(限)|한
愛おしい|いとおしい|いとおしい|사랑스럽다|
広げ|広げる|ひろげる|펼치다|광
足り|足りる|たりる|족하다·충분하다|족
不思議|不思議|ふしぎ|신기함|불사의
皆|皆|みな|모두|개
自身|自身|じしん|자신|자신
重ね合わせ|重ね合わせる|かさねあわせる|겹쳐 보다|중합
嬉しい|嬉しい|うれしい|기쁘다|희
甘酸っぱく|甘酸っぱい|あまずっぱい|풋풋하다·달콤씁쓸하다|감산
描か|描く|えがく|그리다|묘
思い返し|思い返す|おもいかえす|돌이켜 보다|사반
受け取っ|受け取る|うけとる|받다·수령하다|수취
街|街|まち|거리|가
すれ違っ|擦れ違う|すれちがう|스쳐 지나가다|찰위
感想|感想|かんそう|감상|감상
也英|也英|やえ|야에(주인공 이름)|야영
野口也英|野口也英|のぐちやえ|노구치 야에(주인공)|야구야영
